"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 16:02:46,FALSE,NA,"1185587099048841216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ivirozel",61,TRUE,FALSE,NA,NA
"65","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 15:49:09,FALSE,NA,"1185583672763830272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BarnieHector",61,TRUE,FALSE,NA,NA
"66","Si piensa pasear tome en cuenta  que pasar chimaltenango en ambos sentidos son 4 horas de ida y 4 mas de vuelta dur… https://t.co/XQgkAApxif",FALSE,1,NA,2019-10-19 15:40:50,TRUE,NA,"1185581579093106689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eljonastal",0,FALSE,FALSE,NA,NA
"67","RT @gerfranreyes: En el reversible de la Aguilar Batres un motorista chocó a otro, y así los dos 👇🏼😁

#TraficoGT #TransitoGT https://t.co/p…",FALSE,0,NA,2019-10-19 15:31:54,FALSE,NA,"1185579333039087616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AllegPaul",2,TRUE,FALSE,NA,NA
"68","Precaución, accidente de tránsito en km 55.5 CA9 #TraficoGT https://t.co/wQr9iD6U5s",FALSE,0,NA,2019-10-19 15:09:51,FALSE,NA,"1185573785237413888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yadira_Montes",0,FALSE,FALSE,NA,NA
"69","RT @padreilustrado: Creo que es tiempo de cambiar la música del carro...
#traficogt #transitogt https://t.co/fI6Kk5bpA1",FALSE,0,NA,2019-10-19 14:58:58,FALSE,NA,"1185571044603637761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joshalmengor2",1,TRUE,FALSE,NA,NA
"70","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 14:53:19,FALSE,NA,"1185569621715439616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Francis44452412",61,TRUE,FALSE,NA,NA
"71","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 14:52:26,FALSE,NA,"1185569398314225664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Movil51618453",61,TRUE,FALSE,NA,NA
"72","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 14:38:48,FALSE,NA,"1185565968036220928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shennymejia",61,TRUE,FALSE,NA,NA
"73","RT @prensa_libre: #FrenemosLosAccidentes | @Provial reporta una persona muerta en un accidente de #TráficoGT en el km 135 de la ruta Intera…",FALSE,0,NA,2019-10-19 14:06:56,FALSE,NA,"1185557951194583041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Memito9075",2,TRUE,FALSE,NA,NA
